"V1","taxaID","superkingdom","phylum","class","order","family","genus","species","num_contigs"
"MK861965.1",80935,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Cache Valley orthobunyavirus",36705
"MG664851.1",37124,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Chikungunya virus",6664
"AB189121",11053,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Dengue virus",74604
"LC079089.1",59300,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Getah virus",4725
"NC_038737.1",1678234,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Guama orthobunyavirus",524
"NC_034486.1",80941,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Guaroa orthobunyavirus",6241
"FJ185036.1",11072,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Japanese encephalitis virus",7699
"MT227562.1",59301,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Mayaro virus",5191
"AF075256.1",60876,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Pixuna virus",38299
"KJ782455.1",11588,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Phlebovirus","Rift Valley fever phlebovirus",2138
"KY616985.1",11034,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Sindbis virus",4070
"MH484335.1",273347,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Tensaw orthobunyavirus",5447
"KR013237.1",1678230,"Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae",NA,"Trubanaman virus",889
"HQ842619.1",40060,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Reoviridae","Orbivirus","Umatilla virus",1283
"KY426757.1",64286,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Usutu virus",747
"AY823299.1",11036,"Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Venezuelan equine encephalitis virus",1097
"AF473866.1",11277,"Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Vesiculovirus","Indiana vesiculovirus",543
"FJ483549.1",11082,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","West Nile virus",54242
"AF052446.1",11089,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Yellow fever virus",9038
"KY989511.1",64320,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Zika virus",867381
"JF459991.1",64293,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Tembusu virus",47136
"NC_008719.1",44026,"Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Sepik virus",4666
